Date : 2026-07-15 13:57:20
Directory : c:\Users\Miro\source\repos\Embe.C2C
Total : 532 files,  42903 codes, 273 comments, 8322 blanks, all 51498 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C#                 |        343 |     23,075 |        180 |      6,067 |     29,322 |
| JSON               |         12 |      9,993 |          0 |          8 |     10,001 |
| TypeScript JSX     |         73 |      4,684 |         10 |        762 |      5,456 |
| Markdown           |         21 |      2,151 |          3 |        877 |      3,031 |
| TypeScript         |         48 |      1,516 |          3 |        254 |      1,773 |
| Skill              |          5 |        733 |          0 |        200 |        933 |
| PostCSS            |          8 |        329 |         12 |         66 |        407 |
| YAML               |          4 |        163 |         10 |         38 |        211 |
| XML                |         12 |        140 |          0 |         31 |        171 |
| JSON with Comments |          2 |         46 |          0 |          2 |         48 |
| Python             |          1 |         27 |         53 |         11 |         91 |
| MS SQL             |          1 |         26 |          0 |          1 |         27 |
| JavaScript         |          2 |         20 |          2 |          5 |         27 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                               |        532 |     42,903 |        273 |      8,322 |     51,498 |
| . (Files)                                                                                                                                       |          3 |        773 |          0 |          3 |        776 |
| .github                                                                                                                                         |          2 |         78 |          4 |         21 |        103 |
| .github\workflows                                                                                                                               |          2 |         78 |          4 |         21 |        103 |
| data                                                                                                                                            |          3 |         54 |         53 |         12 |        119 |
| data (Files)                                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| data\scripts                                                                                                                                    |          2 |         53 |         53 |         12 |        118 |
| src                                                                                                                                             |        524 |     41,998 |        216 |      8,286 |     50,500 |
| src (Files)                                                                                                                                     |          1 |          8 |          0 |          1 |          9 |
| src\Embe.C2C.Api                                                                                                                                |         19 |        822 |          0 |        112 |        934 |
| src\Embe.C2C.Api (Files)                                                                                                                        |          4 |        178 |          0 |         25 |        203 |
| src\Embe.C2C.Api\EndPoints                                                                                                                      |          9 |        459 |          0 |         65 |        524 |
| src\Embe.C2C.Api\Extensions                                                                                                                     |          2 |        124 |          0 |         12 |        136 |
| src\Embe.C2C.Api\OpenApi                                                                                                                        |          3 |         38 |          0 |          9 |         47 |
| src\Embe.C2C.Api\Properties                                                                                                                     |          1 |         23 |          0 |          1 |         24 |
